homelat,homelon,homecontinent,n
33.0,65.0,Europe,22
41.1533,20.1683,Europe,55
28.0339,1.6596,Europe,60
42.5063,1.5218,Europe,39
-11.2027,17.8739,Europe,0
17.0608,-61.7964,Europe,1
-38.4161,-63.6167,Europe,68
40.0691,45.0382,Europe,78
-35.4735,149.0124,Europe,2
-33.8688,151.2093,Europe,210
-12.4634,130.8456,Europe,1
-28.0167,153.4,Europe,78
-34.9285,138.6007,Europe,29
-41.4545,145.9707,Europe,7
-37.8136,144.9631,Europe,94
-31.9505,115.8605,Europe,31
47.5162,14.5501,Europe,1332
40.1431,47.5769,Europe,28
25.0343,-77.3963,Europe,1
26.0275,50.55,Europe,228
23.685,90.3563,Europe,10
13.1939,-59.5432,Europe,2
53.7098,27.9534,Europe,36
50.8333,4.0,Europe,1243
9.3077,2.3158,Europe,1
27.5142,90.4336,Europe,1
-16.2902,-63.5887,Europe,11
43.9159,17.6791,Europe,26
-14.235,-51.9253,Europe,321
4.5353,114.7277,Europe,56
42.7339,25.4858,Europe,67
12.2383,-1.5616,Europe,15
16.5388,-23.0418,Europe,0
11.55,104.9167,Europe,33
3.8480000000000003,11.5021,Europe,10
53.9333,-116.5765,Europe,74
49.2827,-123.1207,Europe,103
37.6489,-122.6655,Europe,8
53.7609,-98.8139,Europe,8
46.5653,-66.4619,Europe,8
53.1355,-57.6604,Europe,3
44.681999999999995,-63.7443,Europe,7
51.2538,-85.3232,Europe,185
46.5107,-63.4168,Europe,1
52.9399,-73.5491,Europe,74
52.9399,-106.4509,Europe,7
6.6111,20.9394,Europe,1
15.4542,18.7322,Europe,0
-35.6751,-71.543,Europe,201
31.8257,117.2264,Europe,990
40.1824,116.4142,Europe,456
30.0572,107.874,Europe,576
26.0789,117.9874,Europe,296
37.8099,101.0583,Europe,133
23.3417,113.4244,Europe,1364
23.8298,108.7881,Europe,253
26.8154,106.8748,Europe,147
19.1959,109.7453,Europe,168
39.549,116.1306,Europe,318
47.861999999999995,127.7615,Europe,482
33.882,113.61399999999999,Europe,1273
22.3,114.2,Europe,162
30.9756,112.2707,Europe,67799
27.6104,111.7088,Europe,1018
44.0935,113.9448,Europe,75
32.9711,119.455,Europe,631
27.614,115.7221,Europe,935
43.6661,126.1923,Europe,93
41.2956,122.6085,Europe,125
22.1667,113.55,Europe,12
37.2692,106.1655,Europe,75
35.7452,95.9956,Europe,18
35.1917,108.8701,Europe,246
36.3427,118.1498,Europe,761
31.201999999999998,121.4491,Europe,358
37.5777,112.2922,Europe,133
30.6171,102.7103,Europe,540
39.3054,117.323,Europe,136
31.6927,88.0924,Europe,1
41.1129,85.2401,Europe,76
24.974,101.48700000000001,Europe,176
29.1832,120.0934,Europe,1232
4.5709,-74.2973,Europe,65
-4.0383,21.7587,Europe,1
-4.0383,21.7587,Europe,3
9.7489,-83.7534,Europe,41
7.54,-5.5471,Europe,5
45.1,15.2,Europe,65
0.0,0.0,Europe,706
22.0,-80.0,Europe,5
35.1264,33.4299,Europe,46
49.8175,15.472999999999999,Europe,396
61.8926,-6.9118,Europe,47
71.7069,-42.6043,Europe,1
56.2639,9.5018,Europe,977
11.8251,42.5903,Europe,0
18.7357,-70.1627,Europe,21
-1.8312,-78.1834,Europe,58
26.0,30.0,Europe,196
13.7942,-88.8965,Europe,0
1.5,10.0,Europe,1
15.1794,39.7823,Europe,0
58.5953,25.0136,Europe,225
-26.5225,31.4659,Europe,1
9.145,40.4897,Europe,5
-17.7134,178.065,Europe,0
64.0,26.0,Europe,321
3.9339,-53.1258,Europe,11
-17.6797,149.4068,Europe,3
16.25,-61.5833,Europe,18
-12.8275,45.1662,Europe,1
-20.9043,165.618,Europe,0
-21.1351,55.2471,Europe,9
17.9,-62.8333,Europe,3
18.0708,-63.0501,Europe,2
14.6415,-61.0242,Europe,16
46.2276,2.2137,Europe,7652
-0.8037,11.6094,Europe,1
13.4432,-15.3101,Europe,1
42.3154,43.3569,Europe,34
51.0,9.0,Europe,9257
7.9465,-1.0232,Europe,7
39.0742,21.8243,Europe,387
15.7835,-90.2308,Europe,6
9.9456,-9.6966,Europe,1
5.0,-58.75,Europe,7
18.9712,-72.2852,Europe,0
41.9029,12.4534,Europe,1
15.2,-86.2419,Europe,8
47.1625,19.5033,Europe,50
64.9631,-19.0208,Europe,220
21.0,78.0,Europe,142
-0.7893,113.9213,Europe,172
32.0,53.0,Europe,16169
33.0,44.0,Europe,154
53.1424,-7.6921,Europe,223
31.0,35.0,Europe,250
43.0,12.0,Europe,31506
18.1096,-77.2975,Europe,12
36.0,138.0,Europe,878
31.24,36.51,Europe,34
48.0196,66.9237,Europe,33
-0.0236,37.9062,Europe,3
36.0,128.0,Europe,8320
29.5,47.75,Europe,130
41.2044,74.7661,Europe,0
56.8796,24.6032,Europe,49
33.8547,35.8623,Europe,120
6.4281,-9.4295,Europe,1
47.14,9.55,Europe,7
55.1694,23.8813,Europe,25
49.8153,6.1296,Europe,140
-18.7669,46.8691,Europe,0
2.5,112.5,Europe,673
3.2028,73.2207,Europe,13
35.9375,14.3754,Europe,38
21.0079,10.9408,Europe,1
-20.2,57.5,Europe,0
23.6345,-102.5528,Europe,82
47.4116,28.3699,Europe,30
43.7333,7.4167,Europe,7
46.8625,103.8467,Europe,5
42.5,19.3,Europe,2
31.7917,-7.0926,Europe,38
-22.9576,18.4904,Europe,2
28.1667,84.25,Europe,1
12.5186,-70.0358,Europe,3
12.1696,-68.99,Europe,3
18.0425,-63.0548,Europe,0
52.1326,5.2913,Europe,1705
-40.9006,174.886,Europe,12
12.8654,-85.2072,Europe,0
17.6078,8.0817,Europe,0
9.082,8.6753,Europe,3
41.6086,21.7453,Europe,26
60.472,8.4689,Europe,1463
21.0,57.0,Europe,24
30.3753,69.3451,Europe,236
8.538,-80.7821,Europe,69
-6.315,143.9555,Europe,0
-23.4425,-58.4438,Europe,9
-9.19,-75.0152,Europe,117
13.0,122.0,Europe,187
51.9194,19.1451,Europe,238
39.3999,-8.2245,Europe,448
25.3548,51.1839,Europe,439
45.9432,24.9668,Europe,184
60.0,90.0,Europe,114
-1.9403,29.8739,Europe,7
13.9094,-60.9789,Europe,2
12.9843,-61.2872,Europe,1
43.9424,12.4578,Europe,109
24.0,45.0,Europe,171
14.4974,-14.4524,Europe,26
44.0165,21.0059,Europe,65
-4.6796,55.492,Europe,4
1.2833,103.8333,Europe,266
48.669,19.699,Europe,72
46.1512,14.9955,Europe,275
5.1521,46.1996,Europe,1
-30.5595,22.9375,Europe,62
40.0,-4.0,Europe,11748
7.0,81.0,Europe,44
12.8628,30.2176,Europe,1
3.9193,-56.0278,Europe,1
63.0,16.0,Europe,1190
46.8182,8.2275,Europe,2700
23.7,121.0,Europe,77
-6.369,34.8888,Europe,1
15.0,101.0,Europe,177
8.6195,0.8248,Europe,1
10.6918,-61.2225,Europe,5
34.0,9.0,Europe,24
38.9637,35.2433,Europe,47
1.0,32.0,Europe,0
48.3794,31.1656,Europe,14
24.0,54.0,Europe,98
32.3078,-64.7505,Europe,0
19.3133,-81.2546,Europe,1
