homelat,homelon,homecontinent,n
33.0,65.0,Europe,521
41.1533,20.1683,Europe,416
28.0339,1.6596,Europe,1761
42.5063,1.5218,Europe,601
-11.2027,17.8739,Europe,19
17.0608,-61.7964,Europe,19
-38.4161,-63.6167,Europe,1975
40.0691,45.0382,Europe,937
-35.4735,149.0124,Europe,103
-33.8688,151.2093,Europe,2822
-12.4634,130.8456,Europe,28
-28.0167,153.4,Europe,965
-34.9285,138.6007,Europe,428
-41.4545,145.9707,Europe,122
-37.8136,144.9631,Europe,1241
-31.9505,115.8605,Europe,506
47.5162,14.5501,Europe,13555
40.1431,47.5769,Europe,991
25.0343,-77.3963,Europe,42
26.0275,50.55,Europe,925
23.685,90.3563,Europe,424
13.1939,-59.5432,Europe,67
53.7098,27.9534,Europe,1981
50.8333,4.0,Europe,26667
9.3077,2.3158,Europe,35
27.5142,90.4336,Europe,5
-16.2902,-63.5887,Europe,268
43.9159,17.6791,Europe,901
-14.235,-51.9253,Europe,19638
4.5353,114.7277,Europe,136
42.7339,25.4858,Europe,635
12.2383,-1.5616,Europe,443
16.5388,-23.0418,Europe,7
11.55,104.9167,Europe,119
3.8480000000000003,11.5021,Europe,820
53.9333,-116.5765,Europe,1451
49.2827,-123.1207,Europe,1370
37.6489,-122.6655,Europe,13
53.7609,-98.8139,Europe,230
46.5653,-66.4619,Europe,112
53.1355,-57.6604,Europe,239
44.681999999999995,-63.7443,Europe,407
51.2538,-85.3232,Europe,6237
46.5107,-63.4168,Europe,25
52.9399,-73.5491,Europe,11677
52.9399,-106.4509,Europe,285
6.6111,20.9394,Europe,8
15.4542,18.7322,Europe,11
-35.6751,-71.543,Europe,6501
31.8257,117.2264,Europe,991
40.1824,116.4142,Europe,588
30.0572,107.874,Europe,579
26.0789,117.9874,Europe,351
37.8099,101.0583,Europe,139
23.3417,113.4244,Europe,1544
23.8298,108.7881,Europe,254
26.8154,106.8748,Europe,146
19.1959,109.7453,Europe,168
39.549,116.1306,Europe,327
47.861999999999995,127.7615,Europe,638
33.882,113.61399999999999,Europe,1276
22.3,114.2,Europe,989
30.9756,112.2707,Europe,67803
27.6104,111.7088,Europe,1019
44.0935,113.9448,Europe,128
32.9711,119.455,Europe,651
27.614,115.7221,Europe,937
43.6661,126.1923,Europe,98
41.2956,122.6085,Europe,144
22.1667,113.55,Europe,45
37.2692,106.1655,Europe,75
35.7452,95.9956,Europe,18
35.1917,108.8701,Europe,256
36.3427,118.1498,Europe,783
31.201999999999998,121.4491,Europe,555
37.5777,112.2922,Europe,168
30.6171,102.7103,Europe,560
39.3054,117.323,Europe,183
31.6927,88.0924,Europe,1
41.1129,85.2401,Europe,76
24.974,101.48700000000001,Europe,184
29.1832,120.0934,Europe,1267
4.5709,-74.2973,Europe,2473
-4.0383,21.7587,Europe,60
-4.0383,21.7587,Europe,215
9.7489,-83.7534,Europe,558
7.54,-5.5471,Europe,444
45.1,15.2,Europe,1495
0.0,0.0,Europe,712
22.0,-80.0,Europe,564
35.1264,33.4299,Europe,595
49.8175,15.472999999999999,Europe,5732
61.8926,-6.9118,Europe,184
71.7069,-42.6043,Europe,11
56.2639,9.5018,Europe,5819
11.8251,42.5903,Europe,150
18.7357,-70.1627,Europe,2620
-1.8312,-78.1834,Europe,7161
26.0,30.0,Europe,1794
13.7942,-88.8965,Europe,117
1.5,10.0,Europe,18
15.1794,39.7823,Europe,34
58.5953,25.0136,Europe,1258
-26.5225,31.4659,Europe,12
9.145,40.4897,Europe,65
-17.7134,178.065,Europe,16
64.0,26.0,Europe,2769
3.9339,-53.1258,Europe,83
-17.6797,149.4068,Europe,51
16.25,-61.5833,Europe,143
-12.8275,45.1662,Europe,191
-20.9043,165.618,Europe,18
-21.1351,55.2471,Europe,382
17.9,-62.8333,Europe,6
18.0708,-63.0501,Europe,32
14.6415,-61.0242,Europe,155
46.2276,2.2137,Europe,124869
-0.8037,11.6094,Europe,44
13.4432,-15.3101,Europe,4
42.3154,43.3569,Europe,234
51.0,9.0,Europe,122171
7.9465,-1.0232,Europe,378
39.0742,21.8243,Europe,2011
15.7835,-90.2308,Europe,126
9.9456,-9.6966,Europe,212
5.0,-58.75,Europe,37
18.9712,-72.2852,Europe,31
41.9029,12.4534,Europe,8
15.2,-86.2419,Europe,382
47.1625,19.5033,Europe,1190
64.9631,-19.0208,Europe,1675
21.0,78.0,Europe,7598
-0.7893,113.9213,Europe,3512
32.0,53.0,Europe,68192
33.0,44.0,Europe,1279
53.1424,-7.6921,Europe,8089
31.0,35.0,Europe,10408
43.0,12.0,Europe,147577
18.1096,-77.2975,Europe,63
36.0,138.0,Europe,5530
31.24,36.51,Europe,372
48.0196,66.9237,Europe,812
-0.0236,37.9062,Europe,189
36.0,128.0,Europe,10450
29.5,47.75,Europe,993
41.2044,74.7661,Europe,298
56.8796,24.6032,Europe,612
33.8547,35.8623,Europe,609
6.4281,-9.4295,Europe,37
47.14,9.55,Europe,79
55.1694,23.8813,Europe,999
49.8153,6.1296,Europe,3223
-18.7669,46.8691,Europe,93
2.5,112.5,Europe,4346
3.2028,73.2207,Europe,19
35.9375,14.3754,Europe,350
21.0079,10.9408,Europe,7
-20.2,57.5,Europe,318
23.6345,-102.5528,Europe,3441
47.4116,28.3699,Europe,1438
43.7333,7.4167,Europe,90
46.8625,103.8467,Europe,16
42.5,19.3,Europe,255
31.7917,-7.0926,Europe,1448
-22.9576,18.4904,Europe,16
28.1667,84.25,Europe,9
12.5186,-70.0358,Europe,86
12.1696,-68.99,Europe,14
18.0425,-63.0548,Europe,50
52.1326,5.2913,Europe,23097
-40.9006,174.886,Europe,1283
12.8654,-85.2072,Europe,7
17.6078,8.0817,Europe,438
9.082,8.6753,Europe,305
41.6086,21.7453,Europe,711
60.472,8.4689,Europe,6314
21.0,57.0,Europe,484
30.3753,69.3451,Europe,4695
8.538,-80.7821,Europe,2752
-6.315,143.9555,Europe,2
-23.4425,-58.4438,Europe,129
-9.19,-75.0152,Europe,5897
13.0,122.0,Europe,4195
51.9194,19.1451,Europe,5955
39.3999,-8.2245,Europe,15472
25.3548,51.1839,Europe,2512
45.9432,24.9668,Europe,5467
60.0,90.0,Europe,11917
-1.9403,29.8739,Europe,118
13.9094,-60.9789,Europe,15
12.9843,-61.2872,Europe,12
43.9424,12.4578,Europe,344
24.0,45.0,Europe,3651
14.4974,-14.4524,Europe,265
44.0165,21.0059,Europe,3105
-4.6796,55.492,Europe,11
1.2833,103.8333,Europe,2108
48.669,19.699,Europe,715
46.1512,14.9955,Europe,1160
5.1521,46.1996,Europe,21
-30.5595,22.9375,Europe,2003
40.0,-4.0,Europe,158273
7.0,81.0,Europe,190
12.8628,30.2176,Europe,17
3.9193,-56.0278,Europe,10
63.0,16.0,Europe,9685
46.8182,8.2275,Europe,24551
23.7,121.0,Europe,382
-6.369,34.8888,Europe,32
15.0,101.0,Europe,2473
8.6195,0.8248,Europe,76
10.6918,-61.2225,Europe,109
34.0,9.0,Europe,671
38.9637,35.2433,Europe,47029
1.0,32.0,Europe,53
48.3794,31.1656,Europe,2203
24.0,54.0,Europe,3360
32.3078,-64.7505,Europe,48
19.3133,-81.2546,Europe,45
49.3723,-2.3644,Europe,398
36.1408,-5.3536,Europe,127
54.2361,-4.5481,Europe,201
16.7425,-62.1874,Europe,9
55.3781,-3.4360000000000004,Europe,73758
-32.5228,-55.7658,Europe,473
37.0902,-95.7129,Europe,496535
41.3775,64.5853,Europe,624
6.4238,-66.5897,Europe,171
16.0,108.0,Europe,257
-15.4167,28.2833,Europe,40
-20.0,30.0,Europe,13
0.0,0.0,Europe,0
15.415,-61.371,Europe,16
12.1165,-61.678999999999995,Europe,14
-18.665695,35.529562,Europe,20
