homelat,homelon,homecontinent,n
33.0,65.0,Europe,174
41.1533,20.1683,Europe,243
28.0339,1.6596,Europe,716
42.5063,1.5218,Europe,376
-11.2027,17.8739,Europe,7
17.0608,-61.7964,Europe,7
-38.4161,-63.6167,Europe,1054
40.0691,45.0382,Europe,532
-35.4735,149.0124,Europe,80
-33.8688,151.2093,Europe,2032
-12.4634,130.8456,Europe,17
-28.0167,153.4,Europe,743
-34.9285,138.6007,Europe,337
-41.4545,145.9707,Europe,69
-37.8136,144.9631,Europe,917
-31.9505,115.8605,Europe,364
47.5162,14.5501,Europe,10180
40.1431,47.5769,Europe,298
25.0343,-77.3963,Europe,14
26.0275,50.55,Europe,567
23.685,90.3563,Europe,51
13.1939,-59.5432,Europe,34
53.7098,27.9534,Europe,152
50.8333,4.0,Europe,12775
9.3077,2.3158,Europe,9
27.5142,90.4336,Europe,4
-16.2902,-63.5887,Europe,107
43.9159,17.6791,Europe,420
-14.235,-51.9253,Europe,5717
4.5353,114.7277,Europe,129
42.7339,25.4858,Europe,399
12.2383,-1.5616,Europe,261
16.5388,-23.0418,Europe,6
11.55,104.9167,Europe,109
3.8480000000000003,11.5021,Europe,193
53.9333,-116.5765,Europe,690
49.2827,-123.1207,Europe,1013
37.6489,-122.6655,Europe,13
53.7609,-98.8139,Europe,103
46.5653,-66.4619,Europe,70
53.1355,-57.6604,Europe,152
44.681999999999995,-63.7443,Europe,147
51.2538,-85.3232,Europe,1966
46.5107,-63.4168,Europe,21
52.9399,-73.5491,Europe,4162
52.9399,-106.4509,Europe,184
6.6111,20.9394,Europe,3
15.4542,18.7322,Europe,7
-35.6751,-71.543,Europe,2738
31.8257,117.2264,Europe,990
40.1824,116.4142,Europe,580
30.0572,107.874,Europe,579
26.0789,117.9874,Europe,343
37.8099,101.0583,Europe,138
23.3417,113.4244,Europe,1494
23.8298,108.7881,Europe,254
26.8154,106.8748,Europe,146
19.1959,109.7453,Europe,168
39.549,116.1306,Europe,321
47.861999999999995,127.7615,Europe,484
33.882,113.61399999999999,Europe,1276
22.3,114.2,Europe,714
30.9756,112.2707,Europe,67801
27.6104,111.7088,Europe,1018
44.0935,113.9448,Europe,107
32.9711,119.455,Europe,646
27.614,115.7221,Europe,937
43.6661,126.1923,Europe,98
41.2956,122.6085,Europe,139
22.1667,113.55,Europe,41
37.2692,106.1655,Europe,75
35.7452,95.9956,Europe,18
35.1917,108.8701,Europe,253
36.3427,118.1498,Europe,774
31.201999999999998,121.4491,Europe,509
37.5777,112.2922,Europe,136
30.6171,102.7103,Europe,550
39.3054,117.323,Europe,174
31.6927,88.0924,Europe,1
41.1129,85.2401,Europe,76
24.974,101.48700000000001,Europe,182
29.1832,120.0934,Europe,1257
4.5709,-74.2973,Europe,906
-4.0383,21.7587,Europe,19
-4.0383,21.7587,Europe,98
9.7489,-83.7534,Europe,347
7.54,-5.5471,Europe,179
45.1,15.2,Europe,867
0.0,0.0,Europe,712
22.0,-80.0,Europe,186
35.1264,33.4299,Europe,262
49.8175,15.472999999999999,Europe,3308
61.8926,-6.9118,Europe,169
71.7069,-42.6043,Europe,10
56.2639,9.5018,Europe,2860
11.8251,42.5903,Europe,30
18.7357,-70.1627,Europe,1109
-1.8312,-78.1834,Europe,2240
26.0,30.0,Europe,710
13.7942,-88.8965,Europe,32
1.5,10.0,Europe,12
15.1794,39.7823,Europe,15
58.5953,25.0136,Europe,745
-26.5225,31.4659,Europe,9
9.145,40.4897,Europe,26
-17.7134,178.065,Europe,5
64.0,26.0,Europe,1418
3.9339,-53.1258,Europe,43
-17.6797,149.4068,Europe,36
16.25,-61.5833,Europe,114
-12.8275,45.1662,Europe,94
-20.9043,165.618,Europe,16
-21.1351,55.2471,Europe,247
17.9,-62.8333,Europe,6
18.0708,-63.0501,Europe,15
14.6415,-61.0242,Europe,128
46.2276,2.2137,Europe,52128
-0.8037,11.6094,Europe,16
13.4432,-15.3101,Europe,4
42.3154,43.3569,Europe,110
51.0,9.0,Europe,71808
7.9465,-1.0232,Europe,161
39.0742,21.8243,Europe,1314
15.7835,-90.2308,Europe,38
9.9456,-9.6966,Europe,22
5.0,-58.75,Europe,12
18.9712,-72.2852,Europe,15
41.9029,12.4534,Europe,6
15.2,-86.2419,Europe,141
47.1625,19.5033,Europe,492
64.9631,-19.0208,Europe,1135
21.0,78.0,Europe,1397
-0.7893,113.9213,Europe,1528
32.0,53.0,Europe,44605
33.0,44.0,Europe,694
53.1424,-7.6921,Europe,3235
31.0,35.0,Europe,5358
43.0,12.0,Europe,105792
18.1096,-77.2975,Europe,36
36.0,138.0,Europe,1953
31.24,36.51,Europe,274
48.0196,66.9237,Europe,343
-0.0236,37.9062,Europe,59
36.0,128.0,Europe,9786
29.5,47.75,Europe,289
41.2044,74.7661,Europe,107
56.8796,24.6032,Europe,398
33.8547,35.8623,Europe,470
6.4281,-9.4295,Europe,3
47.14,9.55,Europe,68
55.1694,23.8813,Europe,537
49.8153,6.1296,Europe,2178
-18.7669,46.8691,Europe,57
2.5,112.5,Europe,2766
3.2028,73.2207,Europe,18
35.9375,14.3754,Europe,169
21.0079,10.9408,Europe,6
-20.2,57.5,Europe,143
23.6345,-102.5528,Europe,1094
47.4116,28.3699,Europe,353
43.7333,7.4167,Europe,52
46.8625,103.8467,Europe,12
42.5,19.3,Europe,109
31.7917,-7.0926,Europe,617
-22.9576,18.4904,Europe,11
28.1667,84.25,Europe,5
12.5186,-70.0358,Europe,55
12.1696,-68.99,Europe,11
18.0425,-63.0548,Europe,6
52.1326,5.2913,Europe,12595
-40.9006,174.886,Europe,647
12.8654,-85.2072,Europe,5
17.6078,8.0817,Europe,27
9.082,8.6753,Europe,135
41.6086,21.7453,Europe,329
60.472,8.4689,Europe,4641
21.0,57.0,Europe,192
30.3753,69.3451,Europe,1938
8.538,-80.7821,Europe,1181
-6.315,143.9555,Europe,1
-23.4425,-58.4438,Europe,65
-9.19,-75.0152,Europe,1065
13.0,122.0,Europe,2084
51.9194,19.1451,Europe,2311
39.3999,-8.2245,Europe,7443
25.3548,51.1839,Europe,781
45.9432,24.9668,Europe,2245
60.0,90.0,Europe,2337
-1.9403,29.8739,Europe,75
13.9094,-60.9789,Europe,13
12.9843,-61.2872,Europe,1
43.9424,12.4578,Europe,236
24.0,45.0,Europe,1563
14.4974,-14.4524,Europe,175
44.0165,21.0059,Europe,900
-4.6796,55.492,Europe,10
1.2833,103.8333,Europe,926
48.669,19.699,Europe,363
46.1512,14.9955,Europe,802
5.1521,46.1996,Europe,5
-30.5595,22.9375,Europe,1353
40.0,-4.0,Europe,95923
7.0,81.0,Europe,143
12.8628,30.2176,Europe,7
3.9193,-56.0278,Europe,9
63.0,16.0,Europe,4435
46.8182,8.2275,Europe,16605
23.7,121.0,Europe,322
-6.369,34.8888,Europe,19
15.0,101.0,Europe,1651
8.6195,0.8248,Europe,34
10.6918,-61.2225,Europe,87
34.0,9.0,Europe,394
38.9637,35.2433,Europe,13531
1.0,32.0,Europe,44
48.3794,31.1656,Europe,645
24.0,54.0,Europe,664
32.3078,-64.7505,Europe,32
19.3133,-81.2546,Europe,14
49.3723,-2.3644,Europe,141
36.1408,-5.3536,Europe,69
54.2361,-4.5481,Europe,60
16.7425,-62.1874,Europe,5
55.3781,-3.4360000000000004,Europe,25150
-32.5228,-55.7658,Europe,338
37.0902,-95.7129,Europe,188172
41.3775,64.5853,Europe,172
6.4238,-66.5897,Europe,135
16.0,108.0,Europe,212
-15.4167,28.2833,Europe,35
-20.0,30.0,Europe,8
0.0,0.0,Europe,0
15.415,-61.371,Europe,12
12.1165,-61.678999999999995,Europe,9
-18.665695,35.529562,Europe,8
34.802075,38.996815000000005,Europe,10
-8.874217,125.727539,Europe,1
13.1939,-59.5432,Europe,3
0.0,0.0,Europe,0
19.856270000000002,102.495496,Europe,9
26.3351,17.228331,Europe,10
31.9522,35.2332,Europe,119
11.8037,-15.1804,Europe,8
17.570692,-3.9961660000000006,Europe,28
17.357822,-62.782998,Europe,8
64.8255,-124.8457,Europe,1
64.2823,-135.0,Europe,5
42.602636,20.902977,Europe,112
21.9162,95.956,Europe,15
18.2206,-63.0686,Europe,2
18.4207,-64.64,Europe,3
21.694000000000003,-71.7979,Europe,5
0.0,0.0,Europe,2
-22.3285,24.6849,Europe,4
-3.3731,29.9189,Europe,2
8.460555000000001,-11.779889,Europe,1
12.1784,-68.2385,Europe,0
-13.254307999999998,34.301525,Europe,0
-51.7963,-59.5236,Europe,0
46.8852,-56.3159,Europe,0
6.877000000000001,31.307,Europe,0
24.2155,-12.8858,Europe,0
0.18636,6.613081,Europe,0
15.552726999999999,48.516388,Europe,0
