homelat,homelon,homecontinent,n
33.0,65.0,Europe,444
41.1533,20.1683,Europe,400
28.0339,1.6596,Europe,1572
42.5063,1.5218,Europe,564
-11.2027,17.8739,Europe,19
17.0608,-61.7964,Europe,19
-38.4161,-63.6167,Europe,1715
40.0691,45.0382,Europe,881
-35.4735,149.0124,Europe,99
-33.8688,151.2093,Europe,2734
-12.4634,130.8456,Europe,28
-28.0167,153.4,Europe,943
-34.9285,138.6007,Europe,415
-41.4545,145.9707,Europe,98
-37.8136,144.9631,Europe,1212
-31.9505,115.8605,Europe,481
47.5162,14.5501,Europe,12942
40.1431,47.5769,Europe,822
25.0343,-77.3963,Europe,40
26.0275,50.55,Europe,823
23.685,90.3563,Europe,218
13.1939,-59.5432,Europe,63
53.7098,27.9534,Europe,1066
50.8333,4.0,Europe,23403
9.3077,2.3158,Europe,26
27.5142,90.4336,Europe,5
-16.2902,-63.5887,Europe,210
43.9159,17.6791,Europe,804
-14.235,-51.9253,Europe,16170
4.5353,114.7277,Europe,135
42.7339,25.4858,Europe,593
12.2383,-1.5616,Europe,414
16.5388,-23.0418,Europe,7
11.55,104.9167,Europe,117
3.8480000000000003,11.5021,Europe,730
53.9333,-116.5765,Europe,1373
49.2827,-123.1207,Europe,1291
37.6489,-122.6655,Europe,13
53.7609,-98.8139,Europe,217
46.5653,-66.4619,Europe,105
53.1355,-57.6604,Europe,228
44.681999999999995,-63.7443,Europe,310
51.2538,-85.3232,Europe,5276
46.5107,-63.4168,Europe,25
52.9399,-73.5491,Europe,10031
52.9399,-106.4509,Europe,260
6.6111,20.9394,Europe,8
15.4542,18.7322,Europe,10
-35.6751,-71.543,Europe,5546
31.8257,117.2264,Europe,990
40.1824,116.4142,Europe,588
30.0572,107.874,Europe,579
26.0789,117.9874,Europe,351
37.8099,101.0583,Europe,139
23.3417,113.4244,Europe,1536
23.8298,108.7881,Europe,254
26.8154,106.8748,Europe,146
19.1959,109.7453,Europe,168
39.549,116.1306,Europe,327
47.861999999999995,127.7615,Europe,569
33.882,113.61399999999999,Europe,1276
22.3,114.2,Europe,960
30.9756,112.2707,Europe,67803
27.6104,111.7088,Europe,1019
44.0935,113.9448,Europe,124
32.9711,119.455,Europe,651
27.614,115.7221,Europe,937
43.6661,126.1923,Europe,98
41.2956,122.6085,Europe,144
22.1667,113.55,Europe,45
37.2692,106.1655,Europe,75
35.7452,95.9956,Europe,18
35.1917,108.8701,Europe,256
36.3427,118.1498,Europe,783
31.201999999999998,121.4491,Europe,543
37.5777,112.2922,Europe,163
30.6171,102.7103,Europe,560
39.3054,117.323,Europe,180
31.6927,88.0924,Europe,1
41.1129,85.2401,Europe,76
24.974,101.48700000000001,Europe,184
29.1832,120.0934,Europe,1266
4.5709,-74.2973,Europe,2054
-4.0383,21.7587,Europe,45
-4.0383,21.7587,Europe,180
9.7489,-83.7534,Europe,502
7.54,-5.5471,Europe,384
45.1,15.2,Europe,1343
0.0,0.0,Europe,712
22.0,-80.0,Europe,457
35.1264,33.4299,Europe,526
49.8175,15.472999999999999,Europe,5312
61.8926,-6.9118,Europe,184
71.7069,-42.6043,Europe,11
56.2639,9.5018,Europe,5402
11.8251,42.5903,Europe,135
18.7357,-70.1627,Europe,2111
-1.8312,-78.1834,Europe,4450
26.0,30.0,Europe,1560
13.7942,-88.8965,Europe,93
1.5,10.0,Europe,18
15.1794,39.7823,Europe,33
58.5953,25.0136,Europe,1185
-26.5225,31.4659,Europe,12
9.145,40.4897,Europe,55
-17.7134,178.065,Europe,15
64.0,26.0,Europe,2487
3.9339,-53.1258,Europe,77
-17.6797,149.4068,Europe,51
16.25,-61.5833,Europe,141
-12.8275,45.1662,Europe,171
-20.9043,165.618,Europe,18
-21.1351,55.2471,Europe,358
17.9,-62.8333,Europe,6
18.0708,-63.0501,Europe,32
14.6415,-61.0242,Europe,154
46.2276,2.2137,Europe,112950
-0.8037,11.6094,Europe,34
13.4432,-15.3101,Europe,4
42.3154,43.3569,Europe,211
51.0,9.0,Europe,113296
7.9465,-1.0232,Europe,313
39.0742,21.8243,Europe,1884
15.7835,-90.2308,Europe,87
9.9456,-9.6966,Europe,164
5.0,-58.75,Europe,37
18.9712,-72.2852,Europe,27
41.9029,12.4534,Europe,8
15.2,-86.2419,Europe,312
47.1625,19.5033,Europe,895
64.9631,-19.0208,Europe,1616
21.0,78.0,Europe,5916
-0.7893,113.9213,Europe,2956
32.0,53.0,Europe,64586
33.0,44.0,Europe,1202
53.1424,-7.6921,Europe,6074
31.0,35.0,Europe,9404
43.0,12.0,Europe,139422
18.1096,-77.2975,Europe,63
36.0,138.0,Europe,4257
31.24,36.51,Europe,358
48.0196,66.9237,Europe,727
-0.0236,37.9062,Europe,179
36.0,128.0,Europe,10384
29.5,47.75,Europe,855
41.2044,74.7661,Europe,270
56.8796,24.6032,Europe,577
33.8547,35.8623,Europe,576
6.4281,-9.4295,Europe,31
47.14,9.55,Europe,78
55.1694,23.8813,Europe,912
49.8153,6.1296,Europe,3034
-18.7669,46.8691,Europe,93
2.5,112.5,Europe,4119
3.2028,73.2207,Europe,19
35.9375,14.3754,Europe,299
21.0079,10.9408,Europe,6
-20.2,57.5,Europe,273
23.6345,-102.5528,Europe,2785
47.4116,28.3699,Europe,1174
43.7333,7.4167,Europe,81
46.8625,103.8467,Europe,16
42.5,19.3,Europe,248
31.7917,-7.0926,Europe,1275
-22.9576,18.4904,Europe,16
28.1667,84.25,Europe,9
12.5186,-70.0358,Europe,77
12.1696,-68.99,Europe,14
18.0425,-63.0548,Europe,40
52.1326,5.2913,Europe,20549
-40.9006,174.886,Europe,1210
12.8654,-85.2072,Europe,6
17.6078,8.0817,Europe,342
9.082,8.6753,Europe,276
41.6086,21.7453,Europe,617
60.472,8.4689,Europe,6086
21.0,57.0,Europe,419
30.3753,69.3451,Europe,4263
8.538,-80.7821,Europe,2249
-6.315,143.9555,Europe,2
-23.4425,-58.4438,Europe,119
-9.19,-75.0152,Europe,4342
13.0,122.0,Europe,3870
51.9194,19.1451,Europe,5205
39.3999,-8.2245,Europe,13141
25.3548,51.1839,Europe,2210
45.9432,24.9668,Europe,4761
60.0,90.0,Europe,8672
-1.9403,29.8739,Europe,110
13.9094,-60.9789,Europe,14
12.9843,-61.2872,Europe,8
43.9424,12.4578,Europe,279
24.0,45.0,Europe,2932
14.4974,-14.4524,Europe,244
44.0165,21.0059,Europe,2666
-4.6796,55.492,Europe,11
1.2833,103.8333,Europe,1623
48.669,19.699,Europe,682
46.1512,14.9955,Europe,1091
5.1521,46.1996,Europe,12
-30.5595,22.9375,Europe,1845
40.0,-4.0,Europe,148220
7.0,81.0,Europe,189
12.8628,30.2176,Europe,14
3.9193,-56.0278,Europe,10
63.0,16.0,Europe,8419
46.8182,8.2275,Europe,23280
23.7,121.0,Europe,379
-6.369,34.8888,Europe,25
15.0,101.0,Europe,2369
8.6195,0.8248,Europe,70
10.6918,-61.2225,Europe,107
34.0,9.0,Europe,628
38.9637,35.2433,Europe,38226
1.0,32.0,Europe,53
48.3794,31.1656,Europe,1668
24.0,54.0,Europe,2659
32.3078,-64.7505,Europe,39
19.3133,-81.2546,Europe,45
