homelat,homelon,homecontinent,n
33.0,65.0,Europe,84
41.1533,20.1683,Europe,146
28.0339,1.6596,Europe,302
42.5063,1.5218,Europe,188
-11.2027,17.8739,Europe,3
17.0608,-61.7964,Europe,3
-38.4161,-63.6167,Europe,387
40.0691,45.0382,Europe,265
-35.4735,149.0124,Europe,39
-33.8688,151.2093,Europe,1029
-12.4634,130.8456,Europe,6
-28.0167,153.4,Europe,443
-34.9285,138.6007,Europe,170
-41.4545,145.9707,Europe,36
-37.8136,144.9631,Europe,466
-31.9505,115.8605,Europe,175
47.5162,14.5501,Europe,5588
40.1431,47.5769,Europe,93
25.0343,-77.3963,Europe,5
26.0275,50.55,Europe,419
23.685,90.3563,Europe,39
13.1939,-59.5432,Europe,18
53.7098,27.9534,Europe,86
50.8333,4.0,Europe,4937
9.3077,2.3158,Europe,6
27.5142,90.4336,Europe,2
-16.2902,-63.5887,Europe,32
43.9159,17.6791,Europe,176
-14.235,-51.9253,Europe,2554
4.5353,114.7277,Europe,109
42.7339,25.4858,Europe,242
12.2383,-1.5616,Europe,146
16.5388,-23.0418,Europe,4
11.55,104.9167,Europe,96
3.8480000000000003,11.5021,Europe,75
53.9333,-116.5765,Europe,358
49.2827,-123.1207,Europe,617
37.6489,-122.6655,Europe,13
53.7609,-98.8139,Europe,35
46.5653,-66.4619,Europe,18
53.1355,-57.6604,Europe,35
44.681999999999995,-63.7443,Europe,68
51.2538,-85.3232,Europe,688
46.5107,-63.4168,Europe,5
52.9399,-73.5491,Europe,1342
52.9399,-106.4509,Europe,72
6.6111,20.9394,Europe,3
15.4542,18.7322,Europe,3
-35.6751,-71.543,Europe,1142
31.8257,117.2264,Europe,990
40.1824,116.4142,Europe,561
30.0572,107.874,Europe,578
26.0789,117.9874,Europe,322
37.8099,101.0583,Europe,136
23.3417,113.4244,Europe,1433
23.8298,108.7881,Europe,254
26.8154,106.8748,Europe,146
19.1959,109.7453,Europe,168
39.549,116.1306,Europe,319
47.861999999999995,127.7615,Europe,484
33.882,113.61399999999999,Europe,1274
22.3,114.2,Europe,410
30.9756,112.2707,Europe,67801
27.6104,111.7088,Europe,1018
44.0935,113.9448,Europe,77
32.9711,119.455,Europe,638
27.614,115.7221,Europe,936
43.6661,126.1923,Europe,94
41.2956,122.6085,Europe,127
22.1667,113.55,Europe,30
37.2692,106.1655,Europe,75
35.7452,95.9956,Europe,18
35.1917,108.8701,Europe,250
36.3427,118.1498,Europe,769
31.201999999999998,121.4491,Europe,433
37.5777,112.2922,Europe,134
30.6171,102.7103,Europe,547
39.3054,117.323,Europe,145
31.6927,88.0924,Europe,1
41.1129,85.2401,Europe,76
24.974,101.48700000000001,Europe,176
29.1832,120.0934,Europe,1241
4.5709,-74.2973,Europe,470
-4.0383,21.7587,Europe,4
-4.0383,21.7587,Europe,48
9.7489,-83.7534,Europe,201
7.54,-5.5471,Europe,80
45.1,15.2,Europe,442
0.0,0.0,Europe,712
22.0,-80.0,Europe,57
35.1264,33.4299,Europe,132
49.8175,15.472999999999999,Europe,1654
61.8926,-6.9118,Europe,132
71.7069,-42.6043,Europe,6
56.2639,9.5018,Europe,1724
11.8251,42.5903,Europe,11
18.7357,-70.1627,Europe,392
-1.8312,-78.1834,Europe,1173
26.0,30.0,Europe,456
13.7942,-88.8965,Europe,9
1.5,10.0,Europe,9
15.1794,39.7823,Europe,4
58.5953,25.0136,Europe,404
-26.5225,31.4659,Europe,4
9.145,40.4897,Europe,12
-17.7134,178.065,Europe,5
64.0,26.0,Europe,880
3.9339,-53.1258,Europe,28
-17.6797,149.4068,Europe,25
