homelat,homelon,homecontinent,n
33.0,65.0,Europe,170
41.1533,20.1683,Europe,223
28.0339,1.6596,Europe,584
42.5063,1.5218,Europe,370
-11.2027,17.8739,Europe,7
17.0608,-61.7964,Europe,7
-38.4161,-63.6167,Europe,820
40.0691,45.0382,Europe,482
-35.4735,149.0124,Europe,78
-33.8688,151.2093,Europe,2032
-12.4634,130.8456,Europe,15
-28.0167,153.4,Europe,689
-34.9285,138.6007,Europe,305
-41.4545,145.9707,Europe,66
-37.8136,144.9631,Europe,821
-31.9505,115.8605,Europe,355
47.5162,14.5501,Europe,9618
40.1431,47.5769,Europe,273
25.0343,-77.3963,Europe,14
26.0275,50.55,Europe,515
23.685,90.3563,Europe,49
13.1939,-59.5432,Europe,33
53.7098,27.9534,Europe,152
50.8333,4.0,Europe,11899
9.3077,2.3158,Europe,6
27.5142,90.4336,Europe,4
-16.2902,-63.5887,Europe,97
43.9159,17.6791,Europe,368
-14.235,-51.9253,Europe,4579
4.5353,114.7277,Europe,127
42.7339,25.4858,Europe,359
12.2383,-1.5616,Europe,246
16.5388,-23.0418,Europe,6
11.55,104.9167,Europe,107
3.8480000000000003,11.5021,Europe,139
53.9333,-116.5765,Europe,661
49.2827,-123.1207,Europe,970
37.6489,-122.6655,Europe,13
53.7609,-98.8139,Europe,96
46.5653,-66.4619,Europe,68
53.1355,-57.6604,Europe,148
44.681999999999995,-63.7443,Europe,127
51.2538,-85.3232,Europe,1706
46.5107,-63.4168,Europe,18
52.9399,-73.5491,Europe,3430
52.9399,-106.4509,Europe,156
6.6111,20.9394,Europe,3
15.4542,18.7322,Europe,5
-35.6751,-71.543,Europe,2449
31.8257,117.2264,Europe,990
40.1824,116.4142,Europe,577
30.0572,107.874,Europe,579
26.0789,117.9874,Europe,340
37.8099,101.0583,Europe,138
23.3417,113.4244,Europe,1484
23.8298,108.7881,Europe,254
26.8154,106.8748,Europe,146
19.1959,109.7453,Europe,168
39.549,116.1306,Europe,321
47.861999999999995,127.7615,Europe,484
33.882,113.61399999999999,Europe,1276
22.3,114.2,Europe,682
30.9756,112.2707,Europe,67801
27.6104,111.7088,Europe,1018
44.0935,113.9448,Europe,97
32.9711,119.455,Europe,645
27.614,115.7221,Europe,937
43.6661,126.1923,Europe,98
41.2956,122.6085,Europe,136
22.1667,113.55,Europe,38
37.2692,106.1655,Europe,75
35.7452,95.9956,Europe,18
35.1917,108.8701,Europe,253
36.3427,118.1498,Europe,773
31.201999999999998,121.4491,Europe,498
37.5777,112.2922,Europe,136
30.6171,102.7103,Europe,550
39.3054,117.323,Europe,174
31.6927,88.0924,Europe,1
41.1129,85.2401,Europe,76
24.974,101.48700000000001,Europe,180
29.1832,120.0934,Europe,1255
4.5709,-74.2973,Europe,798
-4.0383,21.7587,Europe,19
-4.0383,21.7587,Europe,81
9.7489,-83.7534,Europe,330
7.54,-5.5471,Europe,168
45.1,15.2,Europe,790
0.0,0.0,Europe,712
22.0,-80.0,Europe,170
35.1264,33.4299,Europe,230
49.8175,15.472999999999999,Europe,3001
61.8926,-6.9118,Europe,168
71.7069,-42.6043,Europe,10
56.2639,9.5018,Europe,2577
11.8251,42.5903,Europe,18
18.7357,-70.1627,Europe,901
-1.8312,-78.1834,Europe,1962
26.0,30.0,Europe,656
13.7942,-88.8965,Europe,30
1.5,10.0,Europe,12
15.1794,39.7823,Europe,12
58.5953,25.0136,Europe,715
-26.5225,31.4659,Europe,9
9.145,40.4897,Europe,23
-17.7134,178.065,Europe,5
64.0,26.0,Europe,1352
3.9339,-53.1258,Europe,43
-17.6797,149.4068,Europe,36
16.25,-61.5833,Europe,106
-12.8275,45.1662,Europe,82
-20.9043,165.618,Europe,15
-21.1351,55.2471,Europe,224
17.9,-62.8333,Europe,6
18.0708,-63.0501,Europe,15
14.6415,-61.0242,Europe,93
46.2276,2.2137,Europe,44550
-0.8037,11.6094,Europe,7
13.4432,-15.3101,Europe,4
42.3154,43.3569,Europe,103
51.0,9.0,Europe,66885
7.9465,-1.0232,Europe,152
39.0742,21.8243,Europe,1212
15.7835,-90.2308,Europe,36
9.9456,-9.6966,Europe,22
5.0,-58.75,Europe,8
18.9712,-72.2852,Europe,15
41.9029,12.4534,Europe,6
15.2,-86.2419,Europe,139
47.1625,19.5033,Europe,447
64.9631,-19.0208,Europe,1086
21.0,78.0,Europe,1251
-0.7893,113.9213,Europe,1414
32.0,53.0,Europe,41495
33.0,44.0,Europe,630
53.1424,-7.6921,Europe,2910
31.0,35.0,Europe,4695
43.0,12.0,Europe,101739
18.1096,-77.2975,Europe,36
36.0,138.0,Europe,1866
31.24,36.51,Europe,268
48.0196,66.9237,Europe,302
-0.0236,37.9062,Europe,50
36.0,128.0,Europe,9661
29.5,47.75,Europe,266
41.2044,74.7661,Europe,94
56.8796,24.6032,Europe,376
33.8547,35.8623,Europe,446
6.4281,-9.4295,Europe,3
47.14,9.55,Europe,62
55.1694,23.8813,Europe,491
49.8153,6.1296,Europe,1988
-18.7669,46.8691,Europe,43
2.5,112.5,Europe,2626
3.2028,73.2207,Europe,17
35.9375,14.3754,Europe,156
21.0079,10.9408,Europe,5
-20.2,57.5,Europe,128
23.6345,-102.5528,Europe,993
47.4116,28.3699,Europe,298
43.7333,7.4167,Europe,49
46.8625,103.8467,Europe,12
42.5,19.3,Europe,91
31.7917,-7.0926,Europe,556
-22.9576,18.4904,Europe,11
28.1667,84.25,Europe,5
12.5186,-70.0358,Europe,50
12.1696,-68.99,Europe,11
18.0425,-63.0548,Europe,6
52.1326,5.2913,Europe,11750
-40.9006,174.886,Europe,589
12.8654,-85.2072,Europe,4
17.6078,8.0817,Europe,27
9.082,8.6753,Europe,131
41.6086,21.7453,Europe,285
60.472,8.4689,Europe,4445
21.0,57.0,Europe,179
30.3753,69.3451,Europe,1717
8.538,-80.7821,Europe,989
-6.315,143.9555,Europe,1
-23.4425,-58.4438,Europe,64
-9.19,-75.0152,Europe,950
13.0,122.0,Europe,1546
51.9194,19.1451,Europe,2055
39.3999,-8.2245,Europe,6408
25.3548,51.1839,Europe,693
45.9432,24.9668,Europe,2109
60.0,90.0,Europe,1836
-1.9403,29.8739,Europe,70
13.9094,-60.9789,Europe,9
12.9843,-61.2872,Europe,1
43.9424,12.4578,Europe,230
24.0,45.0,Europe,1453
14.4974,-14.4524,Europe,162
44.0165,21.0059,Europe,785
-4.6796,55.492,Europe,8
1.2833,103.8333,Europe,879
48.669,19.699,Europe,336
46.1512,14.9955,Europe,756
5.1521,46.1996,Europe,3
-30.5595,22.9375,Europe,1326
40.0,-4.0,Europe,87956
7.0,81.0,Europe,122
12.8628,30.2176,Europe,6
3.9193,-56.0278,Europe,8
63.0,16.0,Europe,4028
46.8182,8.2275,Europe,15922
23.7,121.0,Europe,306
-6.369,34.8888,Europe,19
15.0,101.0,Europe,1524
8.6195,0.8248,Europe,30
10.6918,-61.2225,Europe,82
34.0,9.0,Europe,312
38.9637,35.2433,Europe,10827
1.0,32.0,Europe,33
48.3794,31.1656,Europe,548
24.0,54.0,Europe,611
32.3078,-64.7505,Europe,27
19.3133,-81.2546,Europe,12
49.3723,-2.3644,Europe,141
36.1408,-5.3536,Europe,69
54.2361,-4.5481,Europe,49
16.7425,-62.1874,Europe,5
55.3781,-3.4360000000000004,Europe,22141
-32.5228,-55.7658,Europe,310
37.0902,-95.7129,Europe,161831
41.3775,64.5853,Europe,149
6.4238,-66.5897,Europe,135
16.0,108.0,Europe,203
-15.4167,28.2833,Europe,35
-20.0,30.0,Europe,7
0.0,0.0,Europe,0
15.415,-61.371,Europe,11
12.1165,-61.678999999999995,Europe,9
-18.665695,35.529562,Europe,8
34.802075,38.996815000000005,Europe,10
-8.874217,125.727539,Europe,1
13.1939,-59.5432,Europe,3
0.0,0.0,Europe,0
19.856270000000002,102.495496,Europe,8
26.3351,17.228331,Europe,8
31.9522,35.2332,Europe,116
11.8037,-15.1804,Europe,8
17.570692,-3.9961660000000006,Europe,25
17.357822,-62.782998,Europe,7
64.8255,-124.8457,Europe,1
64.2823,-135.0,Europe,4
42.602636,20.902977,Europe,94
21.9162,95.956,Europe,14
18.2206,-63.0686,Europe,2
18.4207,-64.64,Europe,2
21.694000000000003,-71.7979,Europe,5
0.0,0.0,Europe,2
-22.3285,24.6849,Europe,3
-3.3731,29.9189,Europe,0
8.460555000000001,-11.779889,Europe,0
12.1784,-68.2385,Europe,0
-13.254307999999998,34.301525,Europe,0
-51.7963,-59.5236,Europe,0
46.8852,-56.3159,Europe,0
6.877000000000001,31.307,Europe,0
24.2155,-12.8858,Europe,0
0.18636,6.613081,Europe,0
15.552726999999999,48.516388,Europe,0
