Cooperation
Amiability
Empathy
Leniency
Courtesy
Generosity
Flexibility
Modesty
Morality
Warmth
Earthiness
Naturalness
Belligerence
Overcriticalness
Bossiness
Rudeness
Cruelty
Pomposity
Irritability
Conceit
Stubbornness
Distrust
Selfishness
Callousness
